institution_name,latitude,longitude
CMARF,-14.7967668,-39.1733824
UFES,-20.2769549,-40.3046767
MBML,-19.9357704,-40.5993161
MEL,-19.3989904,-40.0569855
BNHM,37.8716166,-122.2643456
CEPEC/CEPLAC,-14.7560886,-39.2313926
CLO,42.4799355,-76.4512022
FMNH,41.866261,-87.6169805
KU,38.9584694,-95.2436752
LACM,34.0169567,-118.2887703
MCZ,42.3789292,-71.1152629
MNRJ,-22.90576,-43.2265289
MVZ,37.871373,-122.262173
NHMUK,51.496715,-0.1763672
ROM,43.6677097,-79.3947771
UENF,-21.7620201,-41.2893524
UFMG-ICB,-19.8680335,-43.9666611
UFPR,-25.4269081,-49.2617658
UMMZ,42.2788651,-83.7345223
UNESPSJRP,-20.7851251,-49.3598179
UNICAMP,-22.8184393,-47.0647206
USNM,38.8912662,-77.0260654
USP,-23.5613991,-46.7307891
ZUEC,-22.8203482,-47.0700119